regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,securityClass
10000001,20000001,30000001,Tanoo,-8.85108E+16,4.23694E+16,-4.45135E+16,-8.85119E+16,-8.85093E+16,4.23693E+16,4.23696E+16,4.4513E+16,4.45141E+16,0.01575,1,0,0,1,1,1,0,0.858324,500007,1.32334E+12,3802,B
10000001,20000001,30000002,Lashesih,-1.03301E+17,4.17075E+16,-2.98563E+16,-1.03302E+17,-1.033E+17,4.17075E+16,4.17076E+16,2.98562E+16,2.98569E+16,0.01282,1,0,1,0,1,1,0,0.751689,500007,1.0184E+12,3798,B
10000001,20000001,30000003,Akpivem,-9.11741E+16,4.39382E+16,-5.64828E+16,-9.11783E+16,-9.11733E+16,4.39382E+16,4.39384E+16,5.64813E+16,5.64837E+16,0.6213,1,0,0,1,0,0,0,0.846292,500007,2.47336E+12,3799,B
10000001,20000001,30000004,Jark,-9.36759E+16,5.06042E+16,-2.84035E+16,-9.36774E+16,-9.36755E+16,5.06042E+16,5.06044E+16,2.84033E+16,2.84069E+16,0.3461,1,0,1,0,1,1,0,0.817001,500007,1.77141E+12,6,B
10000001,20000001,30000005,Sasta,-9.47822E+16,4.31262E+16,-3.18967E+16,-9.47829E+16,-9.47777E+16,4.31262E+16,4.31266E+16,3.18926E+16,3.18969E+16,0.02403,1,0,0,1,0,0,0,0.814337,500007,2.56395E+12,3800,B
10000001,20000001,30000006,Zaid,-8.47922E+16,5.23135E+16,-5.70739E+16,-8.47938E+16,-8.47903E+16,5.23132E+16,5.23136E+16,5.70733E+16,5.70756E+16,0.02324,1,0,1,0,0,0,0,0.864229,500007,1.73444E+12,7,B
10000001,20000001,30000007,Yuzier,-9.03675E+16,5.34477E+16,-4.90404E+16,-9.03685E+16,-9.03659E+16,5.34476E+16,5.34479E+16,4.90398E+16,4.90407E+16,0.01469,0,0,0,1,0,0,0,0.906556,500007,1.29731E+12,3800,B
10000001,20000001,30000008,Nirbhi,-9.15761E+16,5.73328E+16,-5.52551E+16,-9.15795E+16,-9.15743E+16,5.73328E+16,5.73328E+16,5.52522E+16,5.52597E+16,0.03981,1,0,0,1,0,0,0,0.882116,500007,3.7168E+12,3800,B
10000001,20000002,30000009,Sooma,-8.40947E+16,6.92059E+16,-7.52261E+16,-8.40958E+16,-8.4093E+16,6.92059E+16,6.92059E+16,7.52255E+16,7.52291E+16,0.01479,0,1,0,0,0,0,0,0.577819,500007,1.83583E+12,3800,B1
10000001,20000002,30000010,Chidah,-8.05889E+16,6.16456E+16,-7.97709E+16,-8.05902E+16,-8.05845E+16,6.16454E+16,6.16461E+16,7.97692E+16,7.97728E+16,0.07498,0,0,0,1,0,0,0,0.539052,500007,2.83426E+12,8,B1
10000001,20000002,30000011,Shenela,-6.95755E+16,5.71223E+16,-8.06598E+16,-6.95756E+16,-6.95743E+16,5.71222E+16,5.71223E+16,8.06578E+16,8.06604E+16,0.0138,1,0,1,0,0,0,0,0.456959,500007,1.29558E+12,3800,B1
10000001,20000002,30000012,Asabona,-8.87871E+16,5.75304E+16,-9.63091E+16,-8.87914E+16,-8.87862E+16,5.75303E+16,5.75308E+16,9.63074E+16,9.63135E+16,0.7113,1,0,1,0,0,0,0,0.322884,500007,3.07545E+12,3799,B2
10000001,20000002,30000013,Onsooh,-8.17787E+16,6.02527E+16,-8.66354E+16,-8.17788E+16,-8.17752E+16,6.02525E+16,6.02527E+16,8.66291E+16,8.6636E+16,0.9844,0,0,0,1,0,0,0,0.442817,500007,3.46849E+12,6,B2
10000001,20000002,30000014,Shamahi,-7.77507E+16,7.17225E+16,-8.7922E+16,-7.77524E+16,-7.77482E+16,7.17225E+16,7.17226E+16,8.79195E+16,8.79282E+16,0.569,1,0,0,1,0,0,0,0.355242,500007,4.38811E+12,3797,B2
10000001,20000002,30000015,Sendaya,-7.50359E+16,4.7721E+16,-9.51724E+16,-7.50363E+16,-7.50349E+16,4.77209E+16,4.7721E+16,9.51699E+16,9.51756E+16,0.08104,1,0,0,1,0,0,0,0.293933,500007,2.83514E+12,3798,B2
10000001,20000002,30000016,Nazhgete,-8.36312E+16,6.37238E+16,-8.98138E+16,-8.36316E+16,-8.36288E+16,6.37238E+16,6.37239E+16,8.98136E+16,8.98164E+16,0.01396,0,1,0,0,0,0,0,0.391497,500007,1.4141E+12,3800,B2
10000001,20000003,30000017,Futzchag,-6.40986E+16,4.1272E+16,-1.01139E+17,-6.41009E+16,-6.40926E+16,4.12716E+16,4.12729E+16,1.01139E+17,1.01143E+17,0.7871,0,0,0,1,0,0,0,0.172229,500007,4.13298E+12,3801,B3
10000001,20000003,30000018,Kazna,-7.01424E+16,3.84886E+16,-9.67204E+16,-7.01464E+16,-7.01413E+16,3.84884E+16,3.84892E+16,9.67173E+16,9.67209E+16,1.501,1,0,0,1,0,0,0,0.231263,500007,2.50612E+12,3799,B3
10000001,20000003,30000019,Podion,-5.87099E+16,2.60445E+16,-1.01529E+17,-5.87104E+16,-5.87094E+16,2.60444E+16,2.60446E+16,1.01527E+17,1.01532E+17,0.07842,0,1,0,0,0,0,0,0.109705,500007,2.62046E+12,3798,B3
10000001,20000003,30000020,Lilmad,-7.28554E+16,5.29099E+16,-1.08165E+17,-7.28581E+16,-7.28476E+16,5.29085E+16,5.29104E+16,1.08164E+17,1.0817E+17,1.172,0,1,0,0,0,0,0,0.160449,500007,5.26754E+12,3797,B3
10000001,20000003,30000021,Kuharah,-7.43798E+16,3.2539E+16,-1.00531E+17,-7.43846E+16,-7.43777E+16,3.25386E+16,3.25391E+16,1.0053E+17,1.0054E+17,2.566,0,0,1,0,0,0,0,0.189705,500007,5.34868E+12,9,B3
10000001,20000003,30000022,Jayneleb,-6.08394E+16,3.30318E+16,-1.05459E+17,-6.08466E+16,-6.08348E+16,3.30311E+16,3.30322E+16,1.05455E+17,1.05462E+17,0.1426,0,0,1,0,0,0,0,0.11384,500007,5.89396E+12,7,B3
10000001,20000004,30000023,Fovihi,-8.15533E+16,5.04513E+16,-5.11546E+16,-8.15547E+16,-8.15532E+16,5.04511E+16,5.04513E+16,5.115E+16,5.1156E+16,1.08,1,0,0,1,0,0,0,0.869394,500007,2.96928E+12,9,B
10000001,20000004,30000024,Kiereend,-7.74791E+16,5.11342E+16,-4.78852E+16,-7.74797E+16,-7.74789E+16,5.11341E+16,5.11343E+16,4.78846E+16,4.78875E+16,0.01944,0,0,0,1,0,0,0,0.840835,500007,1.46268E+12,7,B
10000001,20000004,30000025,Rashy,-7.41811E+16,5.09988E+16,-4.42919E+16,-7.41833E+16,-7.41804E+16,5.09986E+16,5.09989E+16,4.42873E+16,4.42934E+16,0.1276,0,0,0,1,0,0,0,0.803266,500007,3.04493E+12,7,B
